Context	Hypothesis	Entailment_Label	Topic_Label
गोपनीयता की नीति	यह खबर की सूचना है|	entailed	1
गोपनीयता की नीति	यह खबर की सूचना नहीं है|	not-entailed	1
गोपनीयता की नीति	यह विज्ञान की सूचना है|	not-entailed	1
गोपनीयता की नीति	यह विज्ञान की सूचना नहीं है|	entailed	1
ड्रोन हमलों पर संयुक्त राष्ट्र ने चिंता जताई	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
ड्रोन हमलों पर संयुक्त राष्ट्र ने चिंता जताई	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
ड्रोन हमलों पर संयुक्त राष्ट्र ने चिंता जताई	यह भारत की सूचना है|	not-entailed	2
ड्रोन हमलों पर संयुक्त राष्ट्र ने चिंता जताई	यह भारत की सूचना नहीं है|	entailed	2
ग्रामीणों से चल रहा है बीपीओ	यह खबर की सूचना है|	entailed	1
ग्रामीणों से चल रहा है बीपीओ	यह खबर की सूचना नहीं है|	not-entailed	1
ग्रामीणों से चल रहा है बीपीओ	यह भारत की सूचना है|	not-entailed	1
ग्रामीणों से चल रहा है बीपीओ	यह भारत की सूचना नहीं है|	entailed	1
नेपोलियन के दो सौ साल पुराने ख़त की नीलामी 	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
नेपोलियन के दो सौ साल पुराने ख़त की नीलामी 	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
नेपोलियन के दो सौ साल पुराने ख़त की नीलामी 	यह मनोरंजन की सूचना है|	not-entailed	2
नेपोलियन के दो सौ साल पुराने ख़त की नीलामी 	यह मनोरंजन की सूचना नहीं है|	entailed	2
पाकिस्तान में 'चरमपंथी नेता' पर हमला, कई मरे	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
पाकिस्तान में 'चरमपंथी नेता' पर हमला, कई मरे	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
पाकिस्तान में 'चरमपंथी नेता' पर हमला, कई मरे	यह खबर की सूचना है|	not-entailed	2
पाकिस्तान में 'चरमपंथी नेता' पर हमला, कई मरे	यह खबर की सूचना नहीं है|	entailed	2
कजाकिस्तान की श्वेडोवा ने जीता 'गोल्डन सेट'	यह खेल की सूचना है|	entailed	4
कजाकिस्तान की श्वेडोवा ने जीता 'गोल्डन सेट'	यह खेल की सूचना नहीं है|	not-entailed	4
कजाकिस्तान की श्वेडोवा ने जीता 'गोल्डन सेट'	यह खबर की सूचना है|	not-entailed	4
कजाकिस्तान की श्वेडोवा ने जीता 'गोल्डन सेट'	यह खबर की सूचना नहीं है|	entailed	4
द रिलक्टेंट फंडामेंटलिस्ट: 9/11 की 'दीवार' गिराने की कोशिश	यह मनोरंजन की सूचना है|	entailed	3
द रिलक्टेंट फंडामेंटलिस्ट: 9/11 की 'दीवार' गिराने की कोशिश	यह मनोरंजन की सूचना नहीं है|	not-entailed	3
द रिलक्टेंट फंडामेंटलिस्ट: 9/11 की 'दीवार' गिराने की कोशिश	यह भारत की सूचना है|	not-entailed	3
द रिलक्टेंट फंडामेंटलिस्ट: 9/11 की 'दीवार' गिराने की कोशिश	यह भारत की सूचना नहीं है|	entailed	3
धड़ाधड़ बिल 'निपटाए' संसद ने 	यह भारत की सूचना है|	entailed	0
धड़ाधड़ बिल 'निपटाए' संसद ने 	यह भारत की सूचना नहीं है|	not-entailed	0
धड़ाधड़ बिल 'निपटाए' संसद ने 	यह खबर की सूचना है|	not-entailed	0
धड़ाधड़ बिल 'निपटाए' संसद ने 	यह खबर की सूचना नहीं है|	entailed	0
दोस्तों से बचाने वाला 'एंटी सोशल' ऐप 	यह विज्ञान की सूचना है|	entailed	5
दोस्तों से बचाने वाला 'एंटी सोशल' ऐप 	यह विज्ञान की सूचना नहीं है|	not-entailed	5
दोस्तों से बचाने वाला 'एंटी सोशल' ऐप 	यह खबर की सूचना है|	not-entailed	5
दोस्तों से बचाने वाला 'एंटी सोशल' ऐप 	यह खबर की सूचना नहीं है|	entailed	5
पंजाब: 'सामाजिक बहिष्कार' में पिसते दलित	यह भारत की सूचना है|	entailed	0
पंजाब: 'सामाजिक बहिष्कार' में पिसते दलित	यह भारत की सूचना नहीं है|	not-entailed	0
पंजाब: 'सामाजिक बहिष्कार' में पिसते दलित	यह विज्ञान की सूचना है|	not-entailed	0
पंजाब: 'सामाजिक बहिष्कार' में पिसते दलित	यह विज्ञान की सूचना नहीं है|	entailed	0
मिलिए देश के पहले दृष्टिहीन चार्टर्ड अकाउंटेंट से	यह भारत की सूचना है|	entailed	0
मिलिए देश के पहले दृष्टिहीन चार्टर्ड अकाउंटेंट से	यह भारत की सूचना नहीं है|	not-entailed	0
मिलिए देश के पहले दृष्टिहीन चार्टर्ड अकाउंटेंट से	यह खबर की सूचना है|	not-entailed	0
मिलिए देश के पहले दृष्टिहीन चार्टर्ड अकाउंटेंट से	यह खबर की सूचना नहीं है|	entailed	0
'अब न जाएंगे चंदेरी की गलियां छोड़ कर'	यह भारत की सूचना है|	entailed	0
'अब न जाएंगे चंदेरी की गलियां छोड़ कर'	यह भारत की सूचना नहीं है|	not-entailed	0
'अब न जाएंगे चंदेरी की गलियां छोड़ कर'	यह खबर की सूचना है|	not-entailed	0
'अब न जाएंगे चंदेरी की गलियां छोड़ कर'	यह खबर की सूचना नहीं है|	entailed	0
ग़ज़ा संघर्ष में मौतों की संख्या 300 के पार	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
ग़ज़ा संघर्ष में मौतों की संख्या 300 के पार	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
ग़ज़ा संघर्ष में मौतों की संख्या 300 के पार	यह विज्ञान की सूचना है|	not-entailed	2
ग़ज़ा संघर्ष में मौतों की संख्या 300 के पार	यह विज्ञान की सूचना नहीं है|	entailed	2
कौन होगा पाकिस्तानी तालिबान का अगला नेता?	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
कौन होगा पाकिस्तानी तालिबान का अगला नेता?	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
कौन होगा पाकिस्तानी तालिबान का अगला नेता?	यह खेल की सूचना है|	not-entailed	2
कौन होगा पाकिस्तानी तालिबान का अगला नेता?	यह खेल की सूचना नहीं है|	entailed	2
क्या नंगे हो जाना अभिव्यक्ति की स्वतंत्रता है?	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
क्या नंगे हो जाना अभिव्यक्ति की स्वतंत्रता है?	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
क्या नंगे हो जाना अभिव्यक्ति की स्वतंत्रता है?	यह भारत की सूचना है|	not-entailed	2
क्या नंगे हो जाना अभिव्यक्ति की स्वतंत्रता है?	यह भारत की सूचना नहीं है|	entailed	2
चीन ने पूरी तरह बंद किए विवादित लेबर कैंप	यह भारत की सूचना है|	entailed	0
चीन ने पूरी तरह बंद किए विवादित लेबर कैंप	यह भारत की सूचना नहीं है|	not-entailed	0
चीन ने पूरी तरह बंद किए विवादित लेबर कैंप	यह खेल की सूचना है|	not-entailed	0
चीन ने पूरी तरह बंद किए विवादित लेबर कैंप	यह खेल की सूचना नहीं है|	entailed	0
सनी लियोनी से झगड़े की बातें बेबुनियाद: पूजा 	यह मनोरंजन की सूचना है|	entailed	3
सनी लियोनी से झगड़े की बातें बेबुनियाद: पूजा 	यह मनोरंजन की सूचना नहीं है|	not-entailed	3
सनी लियोनी से झगड़े की बातें बेबुनियाद: पूजा 	यह भारत की सूचना है|	not-entailed	3
सनी लियोनी से झगड़े की बातें बेबुनियाद: पूजा 	यह भारत की सूचना नहीं है|	entailed	3
लेह: मृतकों  की संख्या बढ़ने की आशंका	यह भारत की सूचना है|	entailed	0
लेह: मृतकों  की संख्या बढ़ने की आशंका	यह भारत की सूचना नहीं है|	not-entailed	0
लेह: मृतकों  की संख्या बढ़ने की आशंका	यह खबर की सूचना है|	not-entailed	0
लेह: मृतकों  की संख्या बढ़ने की आशंका	यह खबर की सूचना नहीं है|	entailed	0
अमीष त्रिपाठी 10-12 साल नास्तिक रहने के बाद फिर आस्तिक कैसे हुए?	यह भारत की सूचना है|	entailed	0
अमीष त्रिपाठी 10-12 साल नास्तिक रहने के बाद फिर आस्तिक कैसे हुए?	यह भारत की सूचना नहीं है|	not-entailed	0
अमीष त्रिपाठी 10-12 साल नास्तिक रहने के बाद फिर आस्तिक कैसे हुए?	यह अंतरराष्ट्रीय की सूचना है|	not-entailed	0
अमीष त्रिपाठी 10-12 साल नास्तिक रहने के बाद फिर आस्तिक कैसे हुए?	यह अंतरराष्ट्रीय की सूचना नहीं है|	entailed	0
सीरिया में बड़ा धमाका, 31 मरे	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
